category	repo	stars	note
aitools	BedguyHeck/DeepCut-Roblox	1	This chatbot specializes in finding underated gems in roblox using the genre you ask for. It will give a brief description, the image of the game, reviews fr...
aitools	BeerBear85/roblox_first_try	1	Roblox Monster Fighting Game - Single-player survival game with zombie AI, weapon system, and Rojo integration
aitools	bryanwudarsky-lab/multiplayer-game-engineering	1	Process writeup: shipping three live multiplayer games with written specs, multi-agent build and adversarial review, and a four-rung verification ladder gati...
aitools	cauaprjct/nero-discord-bot	1	Bot Discord modular multi-tenant com IA (Gemini 2.0), loja automatizada, whitelist Roblox, sistema de organizações e monitoramento completo
aitools	cfogelklou/roblox-mario-wars	1	Playing around with making a simple Roblox game with AI.
aitools	ckruger0/superpowers-roblox	1	AI-powered game design skills for Roblox Studio, inspired by Superpowers
aitools	Custom-Sync/Roblox-Windsurf-Workspace-Rules	1	Contains rules that you can always on to enable the AI Model to stop making common mistakes when vibe coding with Roblox Studio, Rojo and Windsurf.
aitools	Ddrubok/kill-game-slop	1	Remove the slop. Keep the game. An engine-agnostic agent skill for clearer game UI, copy, VFX, and audio.
aitools	dikki255-afk/gecko-beta-version-0.1	1	Gecko (Beta) adalah game action-survival top-down seru! Kendalikan monster kadal raksasa mekanis dengan Virtual Joystick di arena grid neon luas. Hindari tem...
aitools	dikki255-afk/geckov1.0	1	Gecko adalah game action-survival top-down seru! Kendalikan monster kadal raksasa mekanis dengan Virtual Joystick di arena grid neon luas. Hindari tembakan p...
aitools	dikki255-afk/monster-kadal-biomekanika	1	Gecko (Beta) adalah game action-survival top-down seru! Kendalikan monster kadal raksasa mekanis dengan Virtual Joystick di arena grid neon luas. Hindari tem...
aitools	DnipeT/AI-PathPrediction	1	This is a AI-Path Prediction for Roblox project which implemented a AI movement prediction around the target to simulate realistic situation where an target ...
aitools	edemarest/roblox-studio-mcp-doctor	1	Diagnoses and fixes the connection bugs behind most Roblox Studio MCP server "won't connect" reports. Works with Claude Code, Cursor, Codex CLI, or any MCP c...
aitools	eiei114/pi-roblox-docs	1	Pi native Roblox documentation tools without a background MCP server
aitools	eiei114/pi-roblox-studio-tools	1	On-demand Roblox Studio MCP tools for Pi without a long-running MCP server.
aitools	ejderg/Roblox-Ai-chat-project	1	hehehehe selam gençler robloxda tanışma oyunu yapıyorum ve ona ai chat bot eklemeye calısıyorum bakalım napıcaz
aitools	elwinhe/forgegui-plugins	1	ForgeGUI MCP and Roblox Studio workflow plugin marketplace for Claude Code
aitools	Esca-Byte/Blox-Sync	1	Real-time two-way sync, native desktop dashboard, and autonomous AI Agent integration (MCP) between any external editor and Roblox Studio.
aitools	etmerda/captsha	1	Captsha is a ChatGPT action for remotely executing Roblox code.
aitools	fahim54x-hue/BloxAppeals	1	AI-powered Roblox ban appeal generator. Automatically writes and submits enforcement ban appeals on your behalf.
aitools	Fonda888/AI_Scripts	1	Scripts for the Roblox AI.
aitools	Frombull/PetSimulator99-Roblox-AI	1	AI to click the coins on Roblox PetSimulator99
aitools	Froredion/SuperbulletFrameworkV1-Knit	1	A modern, production-ready Roblox game framework built on a fully reworked version of Knit. It features modular architecture, enhanced IntelliSense, low memo...
aitools	gangslegion/roblox-studio-mcp-server-updated	1	Updated version of the Roblox Studio MCP Server with improvements
aitools	godman4242/qi-optimizer-screenshot-edition	1	Screenshot OCR autofill + craft copilot for the Chasing Immortality QiMulti optimizer. Fork of Hitghul/alchemy-tool (WTFPL).
aitools	h4gen/roblox-ai-vibe-coder	1	Vibe code Roblox games with AI
aitools	h9it0i488-png/LINEWARE-VD	1	AI legit script for roblox place "Violence District"
aitools	Hcoder10/gamepulse	1	GamePulse — AI-powered Roblox game analytics + Luau code copilot. Built with Mistral AI + W&B Weave.
aitools	horsenuggets/claude-md-luau	1	Luau-specific Claude Code guidelines for Roblox and Lune projects.
aitools	Iampancrea/Machine-learning	1	Making Ai play roblox
aitools	jarenm1/rbx-mcp	1	Roblox MCP model context protocol
aitools	jundayoo/roblox-studio-ultimate-mcp	1	🎮 The most comprehensive MCP server for Roblox Studio - 41 tools for complete Studio control from Claude Code
aitools	KanzeroG/rojo-roblox-skill	1	A Claude skill that teaches AI the structure of a real Rojo Roblox project: filesystem layout, Wally packages, Knit services and controllers, ProfileService ...
aitools	koalaa677/roblox-reddit-insight-lab	1	AI-powered Roblox Reddit insight dashboard for game overseas market research.
aitools	Kquxa/roblox-studio-ide-live-sync	1	roblox-studio-ide-live-sync keeps Roblox Studio scripts and your local IDE folder synced both ways in real time. Edit in Studio or in your IDE, and changes a...
aitools	Leviafish/Ocean-AI	1	This AI Agent Is For Coding Roblox Lua
aitools	lmaodick1239/BRMascon	1	Zuiki Mascon -> British Railway
aitools	LMatiuxXcd/LuDock	1	LuDock is a headless, agent-first CLI infrastructure that simulates the Roblox Studio environment for AI agents and CI pipelines. It provides a virtual DataM...
aitools	MAAZBINFAZAL/outfit-server	1	👕 **outfit-server** — Serverless API for Roblox outfit generation 🎨. Built with Node.js + Vercel ⚡, includes mock Coral agent 🧩 for testing & easy Roblox Stu...
aitools	MarcelCodingAT/RoClaude	1	A Lemonade.gg-style AI bridge for Roblox Studio — driven by **Claude Code in your terminal** instead of a web UI.
aitools	Mario6451/RAIBOT	1	roblox ai that imitates roblox players thats for 2016L RBLXHUB
aitools	MaximKonovalovDev/asset-pack-factory	1	AI asset pack pipeline: brief -> 3D/SFX/VFX packs for Unity, Unreal, Godot, Flax, Roblox
aitools	Meganugger/roblox-studio-mcp	1	Production Model Context Protocol integration for Roblox Studio: MCP server + Studio plugin that let AI agents build, test and debug Roblox games autonomously.
aitools	Misea1121/misea-videocut-skills	1	AI-powered video editing skill for gaming livestreams, VTuber content, and short-form videos - Valorant, Roblox, horror games with focus on funny moments and...
aitools	mixercodes/mcp-serotonin-v2	1	File-based MCP server for Serotonin that gives any LLM agent live access to a Roblox game - inspect the instance tree, read player and entity state, project ...
aitools	MyUsernamee/RobloxCopilot-Editor	1	The open source editor for the Roblox Copilot Editor
aitools	naufalhalims/mcp-proxy-roblox-studio	1	Kode python untuk menjembatani secara otomatis agar antigravity bisa memakai model gemini AI yang biasanya ditolak dan terjadi error
aitools	njgall1982-code/KKs-Koala-Tycoon	1	A Roblox Tycoon game featuring custom Koala AI and physics-based rescue mechanics.
aitools	noelle-mburu/Market_Research_Assistant_AI_Model	1	This is a project to create a Market Research Assistant AI Model that will gather, analyze, and predict trends in Roblox and other gaming platforms by retrie...
aitools	nsawill1405/Orion-Releases	1	A Roblox studio AI tool that helps developers create games, subscription based with generous tiers.
aitools	pilatreanakin-code/roblox-creation-mcp-upgraded	1	3 Claude Code skills + MCP setup to build full Roblox games with AI plan, design GUIs, and script complete game systems. Plug and play with Roblox Studio MCP.
aitools	PyroxSolution/mcp-roblox-studio	1	Servidor MCP que conecta Claude (y otros clientes MCP) con Roblox Studio. Construye scripts, mapas y modelos directo desde la IA. Por PyroxSolutions.
aitools	qsym36498-ui/roblox-ai-free-vary-im-so-free-yes	1	free all free all is free
aitools	QuayySmith/quazzyblox-ai-backend	1	AI backend powering QuazzyBlox.AI with GPT-5.5, Roblox scripting, UI generation, and secure API integration.
aitools	RaRdq/FigmaRobloxForge	1	Figma to Roblox bridge [via AI MCP]
aitools	RemielDev/roblox-upload-claude-cli	1	Universal Roblox asset uploader (Open Cloud Assets API) with local SQLite history dashboard and Claude Code integration.
aitools	RetroTheNoobie/jjs-studio	1	Almost fully AI generated website made to aid the "Skillbuilder" function in the roblox game "Jujutsu Shenanigans"
aitools	ripgrim/RoTrader	1	AI-powered Roblox trading value analyzer to help you make better trading decisions
aitools	RMSpratt/Roblox-State-Machine	1	A sample Framework implementation of a StateMachine for use in Roblox. Blackboard knowledge representation is used.
aitools	rwhrsbh/agent-setup	1	One command to set up caveman (ultra), Roblox Studio MCP, and the roblox-game skill across Claude Code, opencode, Gemini CLI, Antigravity and Codex
aitools	Rxuser2/roblox-mcp-server	1	A complete MCP server that bridges AI interfaces with Roblox Studio. Generate, manage, and push Lua scripts directly to Roblox Studio using natural language ...
aitools	RyanChang25/Mob-Pathfinding-Service	1	Mob Pathfinding Service is a service I created to handle large amounts of AI mobs with OOP implementation.
